neighborhood_municipality,total_partially_vaccinated,total_fully_vaccinated,total_fully_vaccinated_w_booster
Stanton Heights (Pittsburgh),338,1355,1999
St. Clair (Pittsburgh),27,81,43
Stowe,346,1839,1414
Strip District (Pittsburgh),362,798,672
Summer Hill (Pittsburgh),53,303,374
Swisshelm Park (Pittsburgh),97,398,625
Swissvale,668,2715,2760
Tarentum,225,1303,987
Terrace Village (Pittsburgh),246,713,377
Thornburg,34,142,212
Trafford,0,2,3
Troy Hill (Pittsburgh),258,1009,871
Turtle Creek,325,1571,1146
Undefined,165,649,630
Undefined (Pittsburgh),4,24,25
Upper Hill (Pittsburgh),168,621,553
Upper Lawrenceville (Pittsburgh),239,826,987
Upper Saint Clair,1842,7253,9477
Verona,161,863,709
Versailles,77,420,369
Wall,26,143,115
West Deer,751,3613,4437
West Elizabeth,22,143,84
West End (Pittsburgh),28,84,58
West Homestead,113,571,638
West Mifflin,1057,5989,6313
West Oakland (Pittsburgh),208,572,336
West View,426,2248,2337
Westwood (Pittsburgh),222,1101,1130
Whitaker,73,392,288
Whitehall,962,4917,6081
White Oak,478,2280,2453
Wilkins,503,2014,2297
Wilkinsburg,1349,4535,4340
Wilmerding,121,494,309
Windgap (Pittsburgh),87,394,483
